epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,11705.9,0.65926,0.3095,0.99044,0.91413,0.92777,0.96571,0.67965,1.09503,0.34077,1.40386,0.0083566,0.0083566,0.0083566
85,11846.2,0.66291,0.31162,0.9892,0.91938,0.93063,0.96895,0.68255,1.09537,0.34071,1.40504,0.0083368,0.0083368,0.0083368
86,11985.8,0.65981,0.30906,0.9884,0.88993,0.94802,0.96855,0.68201,1.09571,0.34055,1.40653,0.008317,0.008317,0.008317
87,12125.3,0.65387,0.31011,0.98586,0.89069,0.94796,0.95972,0.67453,1.09584,0.34074,1.40777,0.0082972,0.0082972,0.0082972
88,12264.9,0.65177,0.30623,0.9844,0.89159,0.94796,0.9597,0.67386,1.0964,0.34098,1.40928,0.0082774,0.0082774,0.0082774
89,12403.9,0.64591,0.30518,0.98145,0.89163,0.94586,0.95701,0.67196,1.09683,0.34109,1.41055,0.0082576,0.0082576,0.0082576
90,12543.1,0.64813,0.30646,0.9828,0.89512,0.94505,0.95758,0.67181,1.097,0.34097,1.4114,0.0082378,0.0082378,0.0082378
91,12683,0.64131,0.30337,0.97879,0.89818,0.9459,0.9592,0.67262,1.0972,0.34082,1.4125,0.008218,0.008218,0.008218
92,12822.5,0.63489,0.30092,0.97506,0.899,0.94481,0.95926,0.67126,1.09753,0.34045,1.4139,0.0081982,0.0081982,0.0081982
93,12962.2,0.63964,0.30338,0.97906,0.9018,0.94591,0.95952,0.672,1.09805,0.34013,1.41496,0.0081784,0.0081784,0.0081784
94,13101.7,0.63398,0.30141,0.97322,0.9035,0.9454,0.95973,0.67151,1.09834,0.34046,1.41598,0.0081586,0.0081586,0.0081586
95,13241.3,0.63463,0.30295,0.97593,0.90578,0.94451,0.9595,0.6717,1.09878,0.34083,1.41719,0.0081388,0.0081388,0.0081388
96,13381.8,0.62683,0.29778,0.97179,0.90926,0.94723,0.96243,0.67328,1.09921,0.34092,1.41842,0.008119,0.008119,0.008119
97,13522.3,0.62569,0.29922,0.97181,0.90984,0.94715,0.96229,0.67302,1.09956,0.34073,1.41965,0.0080992,0.0080992,0.0080992
98,13662.6,0.62485,0.29983,0.96906,0.90992,0.94834,0.96269,0.67351,1.09988,0.34107,1.42095,0.0080794,0.0080794,0.0080794
99,13803.1,0.62153,0.2986,0.96957,0.91094,0.94953,0.96252,0.67374,1.09982,0.34127,1.42193,0.0080596,0.0080596,0.0080596
100,13943.6,0.62333,0.2983,0.96711,0.90838,0.94999,0.96248,0.67356,1.0998,0.34123,1.42269,0.0080398,0.0080398,0.0080398
101,14084.3,0.61793,0.29785,0.96757,0.90276,0.95214,0.96241,0.67387,1.10016,0.34162,1.42373,0.00802,0.00802,0.00802
102,14224.3,0.6125,0.29547,0.9663,0.90233,0.95318,0.96256,0.6724,1.10057,0.34186,1.42484,0.0080002,0.0080002,0.0080002
103,14364.7,0.61091,0.29321,0.96422,0.90265,0.95299,0.96219,0.6732,1.10089,0.34162,1.42565,0.0079804,0.0079804,0.0079804
104,14505.6,0.60748,0.29507,0.96307,0.90099,0.95133,0.96063,0.67279,1.10112,0.34137,1.42643,0.0079606,0.0079606,0.0079606
105,14646.1,0.60909,0.29274,0.96521,0.90536,0.95153,0.95998,0.67197,1.10103,0.34126,1.42714,0.0079408,0.0079408,0.0079408
106,14786.2,0.60622,0.29299,0.96092,0.90465,0.95175,0.96,0.67304,1.10123,0.34092,1.4279,0.007921,0.007921,0.007921
107,14926.6,0.60637,0.29342,0.96294,0.9054,0.95211,0.96008,0.67213,1.10144,0.34106,1.42895,0.0079012,0.0079012,0.0079012
108,15066.6,0.60359,0.29199,0.96017,0.90575,0.95255,0.96005,0.67364,1.10153,0.34099,1.42966,0.0078814,0.0078814,0.0078814
109,15207,0.59984,0.29024,0.95994,0.90433,0.95393,0.95972,0.6727,1.10138,0.34098,1.4301,0.0078616,0.0078616,0.0078616
110,15347.1,0.59601,0.28775,0.95893,0.90364,0.95409,0.9597,0.67301,1.10154,0.34095,1.43098,0.0078418,0.0078418,0.0078418
111,15487.5,0.59344,0.28837,0.95662,0.90401,0.95433,0.95981,0.67303,1.10172,0.34085,1.4318,0.007822,0.007822,0.007822
112,15627.9,0.59607,0.29049,0.95881,0.90455,0.95428,0.95946,0.672,1.10188,0.34059,1.43253,0.0078022,0.0078022,0.0078022
113,15767.8,0.59272,0.28988,0.95356,0.90521,0.95469,0.95969,0.6725,1.10167,0.34096,1.43298,0.0077824,0.0077824,0.0077824
114,15907,0.58742,0.2866,0.95167,0.90465,0.95434,0.95928,0.67126,1.10171,0.34106,1.43375,0.0077626,0.0077626,0.0077626
115,16045.9,0.58759,0.28511,0.95015,0.90477,0.9549,0.95943,0.67337,1.10169,0.34094,1.43457,0.0077428,0.0077428,0.0077428
116,16185.9,0.58544,0.28469,0.95233,0.90266,0.95055,0.95652,0.67329,1.10185,0.34088,1.43543,0.007723,0.007723,0.007723
117,16324.9,0.58564,0.28541,0.95056,0.90227,0.95071,0.95643,0.67299,1.10189,0.34107,1.43602,0.0077032,0.0077032,0.0077032
118,16463.6,0.58355,0.28624,0.94972,0.90347,0.95047,0.95628,0.67314,1.10189,0.34069,1.43661,0.0076834,0.0076834,0.0076834
119,16602.6,0.58105,0.28491,0.94858,0.90324,0.95077,0.95624,0.67268,1.10182,0.34055,1.43732,0.0076636,0.0076636,0.0076636
120,16741.9,0.57786,0.28306,0.94993,0.90718,0.95378,0.95905,0.67295,1.10201,0.34056,1.43797,0.0076438,0.0076438,0.0076438
121,16881.1,0.57659,0.28237,0.94519,0.90606,0.95406,0.9592,0.67231,1.10189,0.34059,1.43847,0.007624,0.007624,0.007624
122,17020.5,0.57435,0.28166,0.94493,0.9079,0.95572,0.96115,0.67403,1.10196,0.34041,1.43931,0.0076042,0.0076042,0.0076042
123,17159.4,0.57298,0.28229,0.94618,0.90858,0.95545,0.9612,0.67291,1.10198,0.34059,1.44007,0.0075844,0.0075844,0.0075844
124,17298.8,0.56751,0.27926,0.94242,0.90956,0.95471,0.96114,0.67263,1.10195,0.34049,1.44084,0.0075646,0.0075646,0.0075646
125,17438.1,0.56697,0.27871,0.94171,0.90949,0.95487,0.96081,0.67397,1.10212,0.34058,1.4415,0.0075448,0.0075448,0.0075448
